Transaction_ID,Date,Amount,Category,Status,Customer_Email,Customer_Phone
TXN-00670,2023-08-01,663.73,Entertainment,Completed,user670@example.com,+1-970-929-7525
TXN-00122,2023-10-03,363.59,Travel,Completed,user122@example.com,+1-343-246-1609
TXN-00018,2023-04-30,547.14,Healthcare,Completed,user18@example.com,+1-681-556-7690
TXN-00433,2023-02-08,459.59,Entertainment,Completed,user433@example.com,+1-223-292-7442
TXN-00552,2023-03-31,476.65,Grocery,Completed,user552@example.com,+1-293-722-8298
TXN-00345,2023-02-11,429.34,Healthcare,Completed,user345@example.com,+1-871-539-5476
TXN-00357,2023-05-16,497.22,Healthcare,Pending,user357@example.com,+1-370-906-8272
TXN-00842,2023/13/45,601.22,Travel,Completed,user842@example.com,+1-480-295-6905
TXN-00708,2023-10-31,763.22,Utility,Completed,user708@example.com,+1-695-278-6916
TXN-00934,2023-02-07,170.18,Grocery,Completed,user934@example.com,+1-991-994-4201
TXN-00449,2023-04-18,422.92,Utility,Completed,user449@example.com,+1-582-547-6990
TXN-00898,2023-02-21,522.01,Grocery,Completed,user898@example.com,+1-947-444-1948
TXN-00699,2023-12-14,638.6,Utility,Completed,user699@example.com,+1-594-212-5781
TXN-00557,2023-10-08,426.86,Healthcare,Completed,user557@example.com,+1-605-460-1049
TXN-00567,2023-08-27,194.28,Travel,Completed,user567@example.com,+1-899-877-9835
TXN-00782,2023-11-04,299.7,Travel,Pending,user782example.com,+1-788-592-7931
TXN-00191,2023-10-18,433.02,Utility,Pending,user191@example.com,+1-919-980-6062
TXN-00436,2023-10-07,511.11,Entertainment,Completed,user436@example.com,+1-249-251-5609
TXN-00798,2023-02-24,602.23,Healthcare,Completed,user798@example.com,+1-779-960-9115
TXN-00338,2023-03-03,451.79,Utility,Completed,user338@example.com,+1-338-264-8498
TXN-00349,2023-10-17,,Entertainment,Completed,user349@example.com,+1-708-908-9151
TXN-00631,2023-09-16,246.13,None,Completed,user631@example.com,+1-940-857-9037
TXN-00940,2023-03-18,415.39,Healthcare,Completed,user940@example.com,+1-955-944-6038
TXN-00129,2023-04-23,514.95,Entertainment,Completed,user129@example.com,+1-701-830-7686
TXN-00912,2023-10-11,532.87,Utility,Completed,user912@example.com,+1-708-666-9368
TXN-00041,2023-02-22,610.77,None,Completed,user41@example.com,+1-625-694-8736
TXN-00189,2023-01-30,372.98,Travel,Completed,user189@example.com,+1-823-873-5381
TXN-00286,2023-02-20,,Entertainment,Completed,user286@example.com,+1-654-825-5668
TXN-00943,2023-02-13,597.53,Grocery,Completed,user943@example.com,+1-261-345-5584
TXN-00295,2023-09-06,553.55,Travel,Completed,user295@example.com,+1-456-253-8873
TXN-00474,2023-01-20,705.03,Utility,Completed,user474@example.com,+1-620-713-8726
TXN-00989,2023-12-26,466.86,Utility,Completed,user989@example.com,+1-262-289-5583
TXN-00694,2023-09-06,592.39,Grocery,Failed,user694@example.com,+1-391-641-8353
TXN-00678,2023-10-22,762.84,Utility,Completed,user678@example.com,+1-437-277-6580
TXN-00626,2023-10-14,423.32,Travel,Completed,user626@example.com,+1-502-356-4214
TXN-00681,2023-01-04,608.25,Healthcare,Failed,user681@example.com,+1-849-479-8381
TXN-00852,2023-12-20,416.68,Travel,Completed,user852@example.com,+1-209-208-6629
TXN-00961,2023-11-14,596.41,Grocery,Completed,user961@example.com,+1-471-322-2481
TXN-00818,2023-05-06,633.44,Entertainment,Completed,user818@example.com,+1-338-968-7743
TXN-00324,2023-09-02,813.86,Utility,Completed,user324@example.com,+1-391-880-2402
TXN-00323,2023-10-27,377.27,Travel,Failed,user323@example.com,+1-446-784-7825
TXN-00635,2023-03-23,348.18,Entertainment,Completed,user635@example.com,+1-857-260-9584
TXN-00751,2023-02-28,361.52,Entertainment,Completed,user751@example.com,+1-411-733-8912
TXN-00625,2023-09-29,738.98,Healthcare,Completed,user625@example.com,+1-467-766-7841
TXN-00495,2023-12-14,728.47,Grocery,Completed,user495@example.com,+1-775-912-5450
TXN-00023,2023-04-12,ONE HUNDRED,Healthcare,Completed,user23@example.com,+1-665-290-6153
TXN-00031,2023-05-23,409.74,Travel,Completed,user31@example.com,+1-408-473-9998
TXN-00299,2023-01-31,621.93,Healthcare,Completed,user299@example.com,+1-479-660-9410
TXN-00194,2023-09-06,313.14,Entertainment,Completed,user194@example.com,+1-271-345-1502
TXN-00197,2023-03-06,367.42,Utility,Completed,user197@example.com,+1-664-549-3578
TXN-00223,2023-06-23,602.94,Grocery,Completed,user223@example.com,+1-496-317-7636
TXN-00993,2023-04-30,462.92,Grocery,Completed,user993@example.com,+1-219-591-6883
TXN-00846,2023-02-13,,Utility,Completed,user846@example.com,+1-943-916-4836
TXN-00794,2023/13/45,,Grocery,Completed,user794@example.com,+1-778-231-4613
TXN-00472,2023-02-25,154.71,Travel,Completed,user472@example.com,+1-521-628-3481
TXN-00098,2023-04-23,539.16,Travel,Completed,user98@example.com,+1-851-394-5106
TXN-00639,2023-05-07,306.51,Travel,Pending,user639@example.com,+1-269-924-3474
TXN-00283,2023-02-08,737.9,Healthcare,Completed,user283@example.com,+1-366-385-3712
